Type of Location,,Average Time Spent (in minutes),Scaled 1-100,TMA risk groupings 1-9
_default_,,242.6262626,50,
accounting,accounting,15,2.053191489,
airport,airport,120,24.17021277,
amusement_park,amusement_park,360,74.72340426,8
aquarium,aquarium,240,49.44680851,
art_gallery,art_gallery,150,30.4893617,
atm,atm,10,1,
bakery,bakery,15,2.053191489,
bank,bank,10,1,
bar,bar,90,17.85106383,9
beauty_salon,beauty_salon,90,17.85106383,
bicycle_store,bicycle_store,30,5.212765957,
book_store,book_store,30,5.212765957,
bowling_alley,bowling_alley,120,24.17021277,
bus_station,bus_station,15,2.053191489,
cafe,TYPE_CAFE = 'cafe',60,11.53191489,
campground,TYPE_CAMPGROUND = 'campground',300,62.08510638,2
car_dealer,TYPE_CAR_DEALER = 'car_dealer',120,24.17021277,
car_rental,TYPE_CAR_RENTAL = 'car_rental',60,11.53191489,
car_repair,TYPE_CAR_REPAIR = 'car_repair',90,17.85106383,
car_wash,TYPE_CAR_WASH = 'car_wash',25,4.159574468,
casino,TYPE_CASINO = 'casino',240,49.44680851,
cemetery,TYPE_CEMETERY = 'cemetery',25,4.159574468,
church,TYPE_CHURCH = 'church',180,36.80851064,9
city_hall,TYPE_CITY_HALL = 'city_hall',60,11.53191489,
clothing_store,TYPE_CLOTHING_STORE = 'clothing_store',60,11.53191489,
convenience_store,TYPE_CONVENIENCE_STORE = 'convenience_store',15,2.053191489,
courthouse,TYPE_COURTHOUSE = 'courthouse',180,36.80851064,
dentist,TYPE_DENTIST = 'dentist',60,11.53191489,
department_store,TYPE_DEPARTMENT_STORE = 'department_store',45,8.372340426,
doctor,TYPE_DOCTOR = 'doctor',45,8.372340426,4
drugstore,,15,2.053191489,
electrician,TYPE_ELECTRICIAN = 'electrician',20,3.106382979,
electronics_store,TYPE_ELECTRONICS_STORE = 'electronics_store',30,5.212765957,
embassy,TYPE_EMBASSY = 'embassy',120,24.17021277,
fire_station,TYPE_FIRE_STATION = 'fire_station',30,5.212765957,
florist,TYPE_FLORIST = 'florist',25,4.159574468,
funeral_home,TYPE_FUNERAL_HOME = 'funeral_home',90,17.85106383,7
furniture_store,TYPE_FURNITURE_STORE = 'furniture_store',60,11.53191489,
gas_station,TYPE_GAS_STATION = 'gas_station',10,1,2
grocery_or_supermarket,TYPE_GROCERY_OR_SUPERMARKET = 'grocery_or_supermarket',30,5.212765957,
gym,TYPE_GYM = 'gym',60,11.53191489,8
hair_care,TYPE_HAIR_CARE = 'hair_care',60,11.53191489,
hardware_store,TYPE_HARDWARE_STORE = 'hardware_store',30,5.212765957,
health,TYPE_HEALTH = 'health',40,7.319148936,
hindu_temple,TYPE_HINDU_TEMPLE = 'hindu_temple',90,17.85106383,9
home_goods_store,TYPE_HOME_GOODS_STORE = 'home_goods_store',45,8.372340426,
hospital,TYPE_HOSPITAL = 'hospital',240,49.44680851,
